phase,hop,node,energy,valid_neighbors,path,attacker_position,attacker_path,attacker_captured_source
1,1,128,1.67,"[(108, 1.91), (363, 1.23), (389, 1.0), (428, 1.61)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,2,108,1.91,"[(67, 1.32), (161, 2.03), (389, 1.0), (428, 1.61)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,3,161,2.03,"[(67, 1.32), (131, 2.06), (243, 1.34), (482, 1.47), (487, 2.04)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,4,131,2.06,"[(65, 2.12), (155, 1.4), (165, 1.7), (168, 1.44), (283, 1.42), (397, 2.01), (423, 1.13)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,5,65,2.12,"[(155, 1.4), (226, 2.01), (240, 2.15), (283, 1.42)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,6,240,2.15,"[(16, 1.5), (206, 1.83), (226, 2.01), (443, 1.12), (472, 1.54)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,7,226,2.01,"[(16, 1.5), (195, 1.64), (206, 1.83), (443, 1.12), (472, 1.54)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,8,206,1.83,"[(16, 1.5), (215, 1.93), (472, 1.54)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,9,215,1.93,"[(3, 1.69), (16, 1.5), (91, 1.88), (187, 1.91), (268, 1.77), (356, 1.79), (425, 1.42), (454, 1.82), (460, 1.69), (472, 1.54), (493, 1.2)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,10,187,1.91,"[(91, 1.88), (276, 1.08), (303, 1.98), (333, 1.91), (381, 1.56)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,11,303,1.98,"[(28, 1.8), (276, 1.08), (333, 1.91), (338, 1.45), (354, 1.31), (459, 1.31), (481, 1.63)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,12,333,1.91,"[(61, 1.47), (62, 1.04), (148, 2.18), (225, 1.45), (229, 1.49), (276, 1.08), (354, 1.31), (374, 2.17), (481, 1.63)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,13,148,2.18,"[(8, 1.88), (52, 1.23), (61, 1.47), (62, 1.04), (224, 1.71), (229, 1.49), (392, 2.11)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,14,392,2.11,"[(224, 1.71), (286, 2.16), (346, 1.6), (418, 1.96), (429, 1.66)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,15,286,2.16,"[(38, 1.74), (175, 1.73), (257, 1.57), (418, 1.96), (446, 1.96)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,16,446,1.96,"[(25, 2.21), (38, 1.74), (175, 1.73), (189, 1.08), (205, 1.42), (379, 2.0), (395, 2.03), (458, 1.48)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,17,25,2.21,"[(125, 2.1), (189, 1.08), (205, 1.42), (306, 1.3), (331, 1.06), (344, 1.0), (395, 2.03), (404, 2.21), (458, 1.48), (463, 1.77)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,18,404,2.21,"[(41, 1.76), (170, 1.39), (282, 1.15), (320, 1.26), (331, 1.06), (344, 1.0)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,19,41,1.76,"[(103, 1.52), (213, 1.21), (227, 1.38), (267, 2.03), (386, 1.08), (408, 1.08), (449, 1.53)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,20,267,2.03,"[(57, 1.68), (103, 1.52), (233, 2.09)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,21,233,2.09,"[(99, 1.97), (218, 1.23), (250, 2.25), (358, 1.06), (388, 1.48), (390, 1.42)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,22,250,2.25,"[(104, 1.06), (218, 1.23), (358, 1.06), (388, 1.48), (390, 1.42), (496, 2.34)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,23,496,2.34,"[(5, 2.1), (104, 1.06), (241, 1.03), (247, 1.86), (295, 1.38), (358, 1.06), (390, 1.42)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
1,24,5,2.1,"[(218, 1.23), (247, 1.86), (358, 1.06), (0, 0.14)]","[128, 108, 161, 131, 65, 240, 226, 206, 215, 187, 303, 333, 148, 392, 286, 446, 25, 404, 41, 267, 233, 250, 496, 5, 0]",5,"[0, 5]",False
2,1,128,0.89,"[(101, 1.06), (108, 1.29), (363, 1.57), (389, 1.12), (428, 2.09)]","[128, 428, 243, 487, 158, 258, 461, 262, 436, 109, 186, 366, 294, 77, 90, 281, 193, 237, 249, 390, 5, 0]",390,"[0, 5, 390]",False
2,2,428,2.09,"[(67, 1.52), (101, 1.06), (161, 1.44), (243, 1.78)]","[128, 428, 243, 487, 158, 258, 461, 262, 436, 109, 186, 366, 294, 77, 90, 281, 193, 237, 249, 390, 5, 0]",390,"[0, 5, 390]",False
